Bucket,AvgElo,s,c,N,AEe_Benchmark,INT,SLOPE,R2
LumbrasGigabase_OTB_ELO~2150_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=2.pgn,2150.3668188736683,0.13918999500203139,0.5147316328221976,18375,0.0980749412143895,3585.2516869783694,-13622.139712931134,0.2714839122182432
LumbrasGigabase_OTB_ELO~2200_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=2.pgn,2200.5400907715584,0.14501077573787352,0.5565460524736766,19491,0.0898295960567619,3585.2516869783694,-13622.139712931134,0.2714839122182432
LumbrasGigabase_OTB_ELO~2300_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2301.7708333333335,0.13296855800494728,0.5804083671069781,5531,0.07702166289829947,3585.2516869783694,-13622.139712931134,0.2714839122182432
LumbrasGigabase_OTB_ELO~2400_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2399.4262295081967,0.11532570616032138,0.5542904240777065,4766,0.07211062670575144,3585.2516869783694,-13622.139712931134,0.2714839122182432
LumbrasGigabase_OTB_ELO~2500_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2499.6965317919075,0.13832631134666046,0.552605184359488,10622,0.0867185961536642,3585.2516869783694,-13622.139712931134,0.2714839122182432
LumbrasGigabase_OTB_ELO~2600_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2603.2622950819673,0.12782900115441587,0.5035912925011689,4127,0.09416731582136997,3585.2516869783694,-13622.139712931134,0.2714839122182432
LumbrasGigabase_OTB_ELO~2700_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2699.7735849056603,0.12728460656970464,0.5568907368915847,7143,0.07890670612286121,3585.2516869783694,-13622.139712931134,0.2714839122182432
LumbrasGigabase_OTB_ELO~2750_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=10.pgn,2749.0298507462685,0.12288782943025423,0.5452478694610088,8527,0.07900863997911017,3585.2516869783694,-13622.139712931134,0.2714839122182432
