Player,Elo,s,c,AEe_Benchmark,IPR,Moves
"Svidler,P",2736.5,0.1167257008225983,0.5976723846519207,0.0643073968731107,2709.247342197945,700
"Adams,Mi",2719.0,0.11316141149932205,0.5301160787855493,0.07677070072314646,2539.4704758680455,433
"Polgar,Ju",2735.0,0.08635135058989929,0.4302078535075659,0.08826342983323326,2382.9149142475717,420
"Anand,V",2790.0,0.09262309382644178,0.5389647768253369,0.06023856431879043,2764.673547721418,803
"Leko,P",2757.0,0.11792397965443209,0.5579581903663725,0.07299245971046628,2590.9382028119007,847
"Topalov,V",2801.3333333333335,0.12028211778873113,0.6248181500263462,0.06188336817669685,2742.2677997686487,1035
"Gelfand,B",2733.0,0.03391690371524799,0.34242967261350127,0.05917084787238732,2779.2181303281154,387
"Grischuk,A",2726.0,0.09032747684227328,0.5088410011344268,0.06545888415325074,2693.561621590214,436
"Aronian,L",2750.0,0.05880069047351264,0.36977522954082,0.08437548882317276,2435.8769898822507,374
"Morozevich,A",2732.5,0.11041611370276923,0.5033685946936916,0.08267449240601835,2459.0482007279234,1109
"Kramnik,V",2755.133333333333,0.0822147869209341,0.4738140295396528,0.06809393919345774,2657.666533681251,915
"Kasimdzhanov,R",2670.0,0.13520971260898765,0.5167656221056699,0.09495893150852511,2291.707854978582,440
AVERAGE,2742.1222222222223,,,0.073265708632688,2587.2159678169887,7899
