Bucket,AvgElo,s,c,N,AEe_Benchmark,INT,SLOPE,R2
LumbrasGigabase_OTB_ELO~2150_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2149.9836065573772,0.11450658845732413,0.47961415135547353,5787,0.09003798779435972,2975.275785228043,-6341.263076725372,0.04941236250326675
LumbrasGigabase_OTB_ELO~2200_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2200.6634615384614,0.11568815432344193,0.5086972120540563,2824,0.08161723095085135,2975.275785228043,-6341.263076725372,0.04941236250326675
LumbrasGigabase_OTB_ELO~2300_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2301.7708333333335,0.09712665117230787,0.4757157694522516,5582,0.07767583218681648,2975.275785228043,-6341.263076725372,0.04941236250326675
LumbrasGigabase_OTB_ELO~2400_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2399.4262295081967,0.08965295336171793,0.48977603227456706,4789,0.06801172783866405,2975.275785228043,-6341.263076725372,0.04941236250326675
LumbrasGigabase_OTB_ELO~2500_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2499.6965317919075,0.10090800854955485,0.4664524053298016,10729,0.08439503543424032,2975.275785228043,-6341.263076725372,0.04941236250326675
LumbrasGigabase_OTB_ELO~2600_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2603.2622950819673,0.11004108804837438,0.46549328190127665,4138,0.09224258120477183,2975.275785228043,-6341.263076725372,0.04941236250326675
LumbrasGigabase_OTB_ELO~2700_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=5.pgn,2699.7074468085107,0.08668568414341285,0.45270801580355985,6226,0.07748323223313545,2975.275785228043,-6341.263076725372,0.04941236250326675
LumbrasGigabase_OTB_ELO~2750_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=15.pgn,2748.221052631579,0.08445403318161915,0.4521945920266748,6065,0.07556897674458396,2975.275785228043,-6341.263076725372,0.04941236250326675
