Bucket,AvgElo,s,c,N,AEe_Benchmark,INT,SLOPE,R2
LumbrasGigabase_OTB_ELO~2200_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2200.6634615384614,0.12166265353086385,0.4953382057597075,2875,0.09060336471223816,3040.966258224228,-6585.807005627154,0.05704653694938988
LumbrasGigabase_OTB_ELO~2300_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2301.7708333333335,0.12843075832563405,0.551869671218926,5653,0.07901588605188209,3040.966258224228,-6585.807005627154,0.05704653694938988
LumbrasGigabase_OTB_ELO~2400_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2399.4262295081967,0.10584597237307845,0.5237886846610166,4827,0.07131752981054686,3040.966258224228,-6585.807005627154,0.05704653694938988
LumbrasGigabase_OTB_ELO~2500_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2499.6965317919075,0.11870339051961182,0.5007363895167132,10820,0.08710986572573011,3040.966258224228,-6585.807005627154,0.05704653694938988
LumbrasGigabase_OTB_ELO~2600_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2603.2622950819673,0.12477405023340206,0.5169314052478214,4171,0.08588879454278904,3040.966258224228,-6585.807005627154,0.05704653694938988
LumbrasGigabase_OTB_ELO~2700_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=5.pgn,2699.7074468085107,0.10018196876267428,0.5031290232572825,6239,0.07283676342320845,3040.966258224228,-6585.807005627154,0.05704653694938988
LumbrasGigabase_OTB_ELO~2750_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=15.pgn,2748.221052631579,0.0865969297887464,0.4433929703580636,6059,0.08128842477053624,3040.966258224228,-6585.807005627154,0.05704653694938988
