Player,Elo,s,c,AEe_Benchmark,IPR,Moves
"Svidler,P",2736.5,0.1043516229440777,0.5350108956171277,0.06771772123770614,2594.990415291836,710
"Adams,Mi",2719.0,0.09883128575606474,0.520903028616769,0.06736088375043464,2597.3404781153795,433
"Polgar,Ju",2735.0,0.12110295647183912,0.5416392989111776,0.07710816199926918,2533.146784738408,436
"Anand,V",2790.0,0.07429932332213274,0.4196737086931186,0.07766337934465195,2529.4902304555403,806
"Kasimdzhanov,R",2670.0,0.13223649718521133,0.5514999190552266,0.081591942899082,2503.617469076723,457
"Morozevich,A",2732.5,0.11499631822046326,0.5131821567590268,0.08068632029238715,2509.5817247843484,1126
"Topalov,V",2801.3333333333335,0.09393109795953468,0.542684404598373,0.05915728714439218,2651.367782114793,1056
"Kramnik,V",2755.133333333333,0.08412614501028644,0.4623345336879279,0.07211146358705968,2566.054076146543,922
"Aronian,L",2750.0,0.09294753772501754,0.44331919603161746,0.08656831555409314,2470.8440391827394,389
"Gelfand,B",2733.0,0.05673186466610917,0.3732434078518683,0.07796281934278183,2527.5181764180916,392
"Leko,P",2757.0,0.11798112910782996,0.5620865718155198,0.07055113481744885,2576.330100288528,858
"Grischuk,A",2726.0,0.09298432189492821,0.46649628169576113,0.07813618041508878,2526.3764538535893,442
AVERAGE,2742.1222222222223,,,0.07471796753203296,2548.8881442055435,8027
