Bucket,MinElo,MaxElo,AvgElo,s,c,n_moves,s_slope,s_int,s_r2,c_slope,c_int,c_r2
LumbrasGigabase_OTB_ELO~2150_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2140,2160,2150,0.10437092276980978,0.45111217425037126,5605,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
LumbrasGigabase_OTB_ELO~2200_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2190,2210,2201,0.11054844084618748,0.5300007524422374,2736,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
LumbrasGigabase_OTB_ELO~2300_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2290,2310,2302,0.1043604856630567,0.521713215233815,5453,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
LumbrasGigabase_OTB_ELO~2400_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2390,2410,2399,0.0920560723650358,0.5259297325094473,4667,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
LumbrasGigabase_OTB_ELO~2500_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2490,2510,2499,0.10835039543288817,0.4841271809997938,10401,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
LumbrasGigabase_OTB_ELO~2600_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2590,2610,2603,0.11354107424383131,0.4779692949964611,4002,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
LumbrasGigabase_OTB_ELO~2700_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=5.pgn,2690,2710,2699,0.09532293455289051,0.47438102876567256,5965,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
LumbrasGigabase_OTB_ELO~2750_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=15.pgn,2740,2760,2748,0.09739820530755766,0.4806275898874045,5888,-1.1898837930154677e-05,0.13393013376544421,0.1436541073541352,4.406240030732072e-05,0.36248546644098323,0.6137305390269014
