Bucket,MinElo,MaxElo,AvgElo,s,c,N,INT,SLOPE,R2,AVG_ERR
LumbrasGigabase_OTB_ELO~2150_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2140,2160,2149.9836065573772,0.13340142481208586,0.4865062287727749,5828,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.03428523009911838
LumbrasGigabase_OTB_ELO~2200_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2190,2210,2200.6634615384614,0.13298428025488426,0.5609759033024264,2862,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.04181925009377563
LumbrasGigabase_OTB_ELO~2300_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2290,2310,2301.7708333333335,0.1266214900111874,0.5326440909753463,5619,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.016748909293547887
LumbrasGigabase_OTB_ELO~2400_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2390,2410,2399.4262295081967,0.11397705457459746,0.5371345015904742,4833,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.024389439315537498
LumbrasGigabase_OTB_ELO~2500_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=3.pgn,2490,2510,2499.6965317919075,0.11269385344063894,0.4830158247915283,10777,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.026494767730295854
LumbrasGigabase_OTB_ELO~2600_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=4.pgn,2590,2610,2603.2622950819673,0.12168850681778508,0.4894344773334279,4179,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.016735342086188043
LumbrasGigabase_OTB_ELO~2700_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=5.pgn,2690,2710,2699.7074468085107,0.10836930718909696,0.5106584662453122,6304,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.007599726766506665
LumbrasGigabase_OTB_ELO~2750_HalfMoves40-Date2006.01.01-2009.12.31_MinGames=15.pgn,2740,2760,2748.221052631579,0.11383237795401811,0.5098958117494937,6134,0.5901445652923895,-3.225750475909284e-05,0.07139545279110782,0.008402000141406574
